Star,T_min_BJD,T_min_err_days,Epoch_E,OC_days
AA And,2459853.53014201,0.00010000,7863,0.12849951
AA And,2459853.99972538,0.00010000,7864,-0.33701462
AA And,2459858.20223390,0.00010000,7868,0.12510390
AA And,2459858.66667314,0.00010000,7869,-0.34555436
AA And,2459861.00648968,0.00010000,7871,0.12406718
AA And,2459861.94249863,0.00010000,7872,0.12497863
AA And,2459862.41499365,0.00010000,7873,-0.33762385
AA And,2459866.62232177,0.00010000,7877,0.12931427
AA And,2459867.08774814,0.00010000,7878,-0.34035686
AA And,2459867.61114532,0.00010000,7878,0.18304032
AA And,2459868.48549847,0.00010000,7879,0.12229597
AA And,2459871.29518129,0.00010000,7882,0.12668629
AA And,2459873.16542577,0.00010000,7884,0.12673577
AA And,2459873.62430724,0.00010000,7885,-0.34948026
AA And,2459874.56345347,0.00010000,7886,-0.34543153
AA And,2459875.03546020,0.00010000,7886,0.12657520
AA And,2459875.96870440,0.00010000,7887,0.12472190
AA And,2459876.43758199,0.00010000,7888,-0.34149801
AA And,2459876.90618381,0.00010000,7888,0.12710381
AA And,2459877.38672847,0.00010000,7889,-0.32744903
AA And,2459878.77586009,0.00010000,7890,0.12658509
AA And,2459880.18666054,0.00010000,7892,-0.33280946
AA And,2459880.64720320,0.00010000,7892,0.12773320
AA And,2459882.05050117,0.00010000,7894,-0.33916383
