Star,T_min_BJD,T_min_err_days,Epoch_E,OC_days
AB And,2460559.56717099,0.00010000,24284,-0.15804257
AB And,2460559.68549425,0.00010000,24284,-0.03971931
AB And,2460559.89912467,0.00010000,24285,-0.15798098
AB And,2460560.23107832,0.00010000,24286,-0.15791942
AB And,2460560.56303192,0.00010000,24287,-0.15785791
AB And,2460560.68063979,0.00010000,24287,-0.04025004
AB And,2460560.89498542,0.00010000,24288,-0.15779650
AB And,2460561.22693883,0.00010000,24289,-0.15773518
AB And,2460561.34446034,0.00010000,24289,-0.04021367
AB And,2460561.55889211,0.00010000,24290,-0.15767399
AB And,2460562.22140938,0.00010000,24292,-0.15894090
AB And,2460562.38669138,0.00010000,24292,0.00634110
AB And,2460562.55336227,0.00010000,24293,-0.15888010
AB And,2460562.67207769,0.00010000,24293,-0.04016468
AB And,2460562.88531503,0.00010000,24294,-0.15881943
AB And,2460563.21726765,0.00010000,24295,-0.15875890
AB And,2460563.54922012,0.00010000,24296,-0.15869852
AB And,2460563.71450184,0.00010000,24296,0.00658320
AB And,2460563.88117244,0.00010000,24297,-0.15863829
AB And,2460564.21312462,0.00010000,24298,-0.15857820
AB And,2460564.54507665,0.00010000,24299,-0.15851826
AB And,2460564.71035815,0.00010000,24299,0.00676324
AB And,2460564.82986928,0.00010000,24299,0.12627437
AB And,2460565.20898026,0.00010000,24301,-0.15839883
AB And,2460565.54093183,0.00010000,24302,-0.15833935
AB And,2460565.70621311,0.00010000,24302,0.00694193
AB And,2460565.87288326,0.00010000,24303,-0.15828001
AB And,2460566.20483452,0.00010000,24304,-0.15822084
AB And,2460566.37011563,0.00010000,24304,0.00706027
AB And,2460566.53678562,0.00010000,24305,-0.15816183
AB And,2460566.86873657,0.00010000,24306,-0.15810297
AB And,2460567.20068735,0.00010000,24307,-0.15804428
AB And,2460567.53263797,0.00010000,24308,-0.15798575
AB And,2460567.86458842,0.00010000,24309,-0.15792739
AB And,2460568.19653870,0.00010000,24310,-0.15786920
AB And,2460568.52848880,0.00010000,24311,-0.15781119
AB And,2460569.19238847,0.00010000,24313,-0.15769570
AB And,2460569.52433802,0.00010000,24314,-0.15763824
AB And,2460569.68822936,0.00010000,24314,0.00625310
AB And,2460570.68407650,0.00010000,24317,0.00642397
AB And,2460570.85074529,0.00010000,24318,-0.15879933
AB And,2460571.18269379,0.00010000,24319,-0.15874291
AB And,2460571.30140762,0.00010000,24319,-0.04002909
AB And,2460571.51603102,0.00010000,24320,-0.15729778
AB And,2460571.67992177,0.00010000,24320,0.00659297
AB And,2460572.17853847,0.00010000,24322,-0.15857451
AB And,2460572.51048666,0.00010000,24323,-0.15851841
AB And,2460572.67576631,0.00010000,24323,0.00676124
AB And,2460572.84243486,0.00010000,24324,-0.15846230
AB And,2460573.17438302,0.00010000,24325,-0.15840623
AB And,2460573.33966263,0.00010000,24325,0.00687338
AB And,2460573.50633112,0.00010000,24326,-0.15835022
AB And,2460573.67161068,0.00010000,24326,0.00692934
AB And,2460573.83827912,0.00010000,24327,-0.15829431
AB And,2460574.17022702,0.00010000,24328,-0.15823850
AB And,2460574.50217480,0.00010000,24329,-0.15818281
AB And,2460574.66606528,0.00010000,24329,0.00570767
AB And,2460574.83412244,0.00010000,24330,-0.15812726
AB And,2460575.16606995,0.00010000,24331,-0.15807184
AB And,2460575.49801732,0.00010000,24332,-0.15801656
AB And,2460575.82996454,0.00010000,24333,-0.15796143
AB And,2460576.16052272,0.00010000,24334,-0.15929534
AB And,2460576.49246965,0.00010000,24335,-0.15924050
AB And,2460576.82441642,0.00010000,24336,-0.15918582
AB And,2460576.98969530,0.00010000,24336,0.00609306
AB And,2460577.15775194,0.00010000,24337,-0.15774239
AB And,2460577.48830951,0.00010000,24338,-0.15907691
AB And,2460577.65358823,0.00010000,24338,0.00620182
AB And,2460578.15359086,0.00010000,24340,-0.15757974
AB And,2460578.31748053,0.00010000,24340,0.00630993
AB And,2460578.48414796,0.00010000,24341,-0.15891473
AB And,2460578.81609378,0.00010000,24342,-0.15886099
AB And,2460579.14803945,0.00010000,24343,-0.15880742
AB And,2460579.47998495,0.00010000,24344,-0.15875401
AB And,2460579.81193029,0.00010000,24345,-0.15870076
AB And,2460579.97720844,0.00010000,24345,0.00657739
AB And,2460580.14387545,0.00010000,24346,-0.15864769
AB And,2460580.30915353,0.00010000,24346,0.00663039
AB And,2460580.47582045,0.00010000,24347,-0.15859478
AB And,2460580.80776527,0.00010000,24348,-0.15854205
AB And,2460580.92608812,0.00010000,24348,-0.04021920
AB And,2460581.13970992,0.00010000,24349,-0.15848949
AB And,2460581.30498773,0.00010000,24349,0.00678832
AB And,2460581.47165438,0.00010000,24350,-0.15843712
AB And,2460581.63693210,0.00010000,24350,0.00684060
AB And,2460581.80359867,0.00010000,24351,-0.15838492
AB And,2460582.46748665,0.00010000,24353,-0.15828111
AB And,2460582.63137520,0.00010000,24353,0.00560743
AB And,2460582.79943035,0.00010000,24354,-0.15822951
AB And,2460582.96331879,0.00010000,24354,0.00565893
AB And,2460583.13137383,0.00010000,24355,-0.15817812
AB And,2460583.46331708,0.00010000,24356,-0.15812696
AB And,2460583.79526010,0.00010000,24357,-0.15807603
AB And,2460583.95914820,0.00010000,24357,0.00581207
AB And,2460584.29109087,0.00010000,24358,0.00586265
