Star,T_min_BJD,T_min_err_days,Epoch_E,OC_days
AD And,2458766.39820121,0.00010000,6354,-0.40759879
AD And,2458767.24005258,0.00010000,6354,0.43425258
AD And,2458767.73846615,0.00010000,6355,-0.05353385
AD And,2458768.33745544,0.00010000,6356,-0.44074456
AD And,2458768.71512697,0.00010000,6356,-0.06307303
AD And,2458769.33745381,0.00010000,6357,-0.42694619
AD And,2458770.34834775,0.00010000,6358,-0.40225225
AD And,2458771.33744709,0.00010000,6359,-0.39935291
AD And,2458771.67850264,0.00010000,6359,-0.05829736
AD And,2458772.16914816,0.00010000,6359,0.43234816
AD And,2458772.66910370,0.00010000,6360,-0.05389630
AD And,2458777.80639109,0.00010000,6365,0.15239108
AD And,2458778.58222639,0.00010000,6366,-0.05797361
AD And,2458779.07311879,0.00010000,6366,0.43291879
AD And,2458780.67070777,0.00010000,6368,0.05810777
AD And,2458782.19422957,0.00010000,6370,-0.39077043
AD And,2458783.21233068,0.00010000,6371,-0.35886932
AD And,2458783.64982239,0.00010000,6371,0.07862239
AD And,2458784.12722627,0.00010000,6372,-0.43017373
AD And,2458784.62896978,0.00010000,6372,0.07156978
AD And,2458785.81669568,0.00010000,6373,0.27309568
AD And,2458786.62308281,0.00010000,6374,0.09328281
AD And,2458787.08725099,0.00010000,6375,-0.42874900
AD And,2458787.62773671,0.00010000,6375,0.11173671
