Star,T_min_BJD,T_min_err_days,Epoch_E,OC_days
BD And,2460395.72648116,0.00010000,17056,0.09802516
BD And,2460396.18897482,0.00010000,17057,0.09761782
BD And,2460396.65146883,0.00010000,17058,0.09721082
BD And,2460397.11396319,0.00010000,17059,0.09680419
BD And,2460397.57784678,0.00010000,17060,0.09778678
BD And,2460398.04034181,0.00010000,17061,0.09738081
BD And,2460398.50283715,0.00010000,17062,0.09697515
BD And,2460398.96672164,0.00010000,17063,0.09795864
BD And,2460399.42921754,0.00010000,17064,0.09755354
BD And,2460399.89171370,0.00010000,17065,0.09714870
BD And,2460400.35559899,0.00010000,17066,0.09813299
BD And,2460400.81809566,0.00010000,17067,0.09772866
BD And,2460402.20697600,0.00010000,17070,0.09790600
BD And,2460402.66932611,0.00010000,17071,0.09735511
BD And,2460403.13197148,0.00010000,17072,0.09709948
BD And,2460403.59585845,0.00010000,17073,0.09808545
BD And,2460405.44724184,0.00010000,17077,0.09786484
BD And,2460405.90974098,0.00010000,17078,0.09746298
BD And,2460406.83612870,0.00010000,17080,0.09804870
BD And,2460417.94545413,0.00010000,17104,0.09775013
BD And,2460418.40795963,0.00010000,17105,0.09735463
BD And,2460419.33436017,0.00010000,17107,0.09795317
BD And,2460419.79686628,0.00010000,17108,0.09755828
BD And,2460420.25937258,0.00010000,17109,0.09716359
BD And,2460420.72326798,0.00010000,17110,0.09815798
BD And,2460421.64828142,0.00010000,17112,0.09736942
BD And,2460422.11217726,0.00010000,17113,0.09836426
BD And,2460422.57468429,0.00010000,17114,0.09797029
BD And,2460423.49969860,0.00010000,17116,0.09718260
