Star,T_min_BJD,T_min_err_days,Epoch_E,OC_days
WZ And,2459853.85381347,0.00010000,10571,-0.23820213
WZ And,2459854.20104730,0.00010000,10571,0.10903170
WZ And,2459854.54828091,0.00010000,10572,-0.23939829
WZ And,2459855.24506224,0.00010000,10573,-0.23828056
WZ And,2459855.94184250,0.00010000,10574,-0.23716390
WZ And,2459856.63403371,0.00010000,10575,-0.24063629
WZ And,2459856.98353865,0.00010000,10575,0.10886865
WZ And,2459857.67800155,0.00010000,10576,0.10766795
WZ And,2459858.02754753,0.00010000,10577,-0.23844967
WZ And,2459858.72200907,0.00010000,10578,-0.23965173
WZ And,2459859.41878460,0.00010000,10579,-0.23853980
WZ And,2459860.11555926,0.00010000,10580,-0.23742874
WZ And,2459861.50679117,0.00010000,10582,-0.23752403
WZ And,2459862.20124846,0.00010000,10583,-0.23873034
WZ And,2459862.89801978,0.00010000,10584,-0.23762262
WZ And,2459867.07168814,0.00010000,10590,-0.23793586
WZ And,2459867.76614130,0.00010000,10591,-0.23914630
WZ And,2459868.11336803,0.00010000,10591,0.10808043
WZ And,2459868.46290953,0.00010000,10592,-0.23804167
WZ And,2459868.81013602,0.00010000,10592,0.10918482
WZ And,2459869.15736226,0.00010000,10593,-0.23925254
WZ And,2459869.85412877,0.00010000,10594,-0.23814963
WZ And,2459870.20135420,0.00010000,10594,0.10907580
WZ And,2459871.59256812,0.00010000,10596,0.10896252
WZ And,2459871.93979227,0.00010000,10597,-0.23947693
WZ And,2459872.63655467,0.00010000,10598,-0.23837813
WZ And,2459873.33331614,0.00010000,10599,-0.23728026
WZ And,2459873.67822430,0.00010000,10599,0.10762790
WZ And,2459874.02776187,0.00010000,10600,-0.23849813
WZ And,2459874.37498440,0.00010000,10600,0.10872440
WZ And,2459875.06942880,0.00010000,10601,0.10750520
WZ And,2459875.41896548,0.00010000,10602,-0.23862172
WZ And,2459875.76618713,0.00010000,10602,0.10859993
WZ And,2459876.11572337,0.00010000,10603,-0.23752743
WZ And,2459876.81016559,0.00010000,10604,-0.23874881
WZ And,2459877.15738638,0.00010000,10604,0.10847198
WZ And,2459877.50692176,0.00010000,10605,-0.23765624
WZ And,2459878.20136228,0.00010000,10606,-0.23887932
WZ And,2459879.59255567,0.00010000,10608,-0.23901313
WZ And,2459879.93977484,0.00010000,10608,0.10820604
WZ And,2459880.98606099,0.00010000,10610,-0.23683501
WZ And,2459881.68049836,0.00010000,10611,-0.23806124
